date,title,link,source,summary
2025-12-05 08:00:00,"India-Pakistan conflict | Overview, History, Kashmir, Timeline, & Wars - Britannica",https://news.google.com/rss/articles/CBMiZ0FVX3lxTFBsclV5M0p1OUZLcUc0SXBQMDRDTEltc25PbWVGMVFoZS1wSzcybXMzelp6TTRVUEx4OWJzWE5Eck8tLWxCU2ZNVWRYbkQ2MkY1U2xJbFgwWkxhVFBISlk2TU43NFBucm8?oc=5,Britannica,"<a href=""https://news.google.com/rss/articles/CBMiZ0FVX3lxTFBsclV5M0p1OUZLcUc0SXBQMDRDTEltc25PbWVGMVFoZS1wSzcybXMzelp6TTRVUEx4OWJzWE5Eck8tLWxCU2ZNVWRYbkQ2MkY1U2xJbFgwWkxhVFBISlk2TU43NFBucm8?oc=5"" target=""_blank"">India-Pakistan conflict | Overview, History, Kashmir, Timeline, & Wars</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
2025-12-04 08:00:00,‘What’s our fault?’: India’s expulsion of Pakistanis still splits families - Al Jazeera,https://news.google.com/rss/articles/CBMiswFBVV95cUxQQ09GU1l0SEM1M0hMcldSZ0t0WFdfVndGX212Z1lTak9UakpRX0dETmxyUXJxTDAzMjhKTXE0Um1wZWM2SWdsb2VIdjBnY1VYX0xGSkZXTnZmSW9xYWNwUHh4Mk43M19Da1hqLU8yZlRweE5zWFk3LUpDck1mZGIwM1IwZUNOWk9vell5MnJOeTM1VV83ejAtX2x6cERPMG5SOXdYaVhPTkN6Yi1lSTczcWlsUdIBuAFBVV95cUxNZnJ6bm9rS2UxUS1jMGx3cWg1amNOZVg4THRDX0wtdGpLb1pVd2ZvYXA3Z3IwOFZKNGtKSkdfT3BjTjgybkJkQVNYMjhaSHFXaFMxZkZueHlPQXVCeVhWZzhsTjRLZ1BLY3ItLV8xUG1uZHQ3MnAyODk5RGQzVHA3d0RkN1VwMUxxYzNlR1dFV29CN0pKbjVUcHJOZWZCSkxJdUUxYmNUOFRXdTBQS005LXU1a1dWeEIw?oc=5,Al Jazeera,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxQQ09GU1l0SEM1M0hMcldSZ0t0WFdfVndGX212Z1lTak9UakpRX0dETmxyUXJxTDAzMjhKTXE0Um1wZWM2SWdsb2VIdjBnY1VYX0xGSkZXTnZmSW9xYWNwUHh4Mk43M19Da1hqLU8yZlRweE5zWFk3LUpDck1mZGIwM1IwZUNOWk9vell5MnJOeTM1VV83ejAtX2x6cERPMG5SOXdYaVhPTkN6Yi1lSTczcWlsUdIBuAFBVV95cUxNZnJ6bm9rS2UxUS1jMGx3cWg1amNOZVg4THRDX0wtdGpLb1pVd2ZvYXA3Z3IwOFZKNGtKSkdfT3BjTjgybkJkQVNYMjhaSHFXaFMxZkZueHlPQXVCeVhWZzhsTjRLZ1BLY3ItLV8xUG1uZHQ3MnAyODk5RGQzVHA3d0RkN1VwMUxxYzNlR1dFV29CN0pKbjVUcHJOZWZCSkxJdUUxYmNUOFRXdTBQS005LXU1a1dWeEIw?oc=5"" target=""_blank"">‘What’s our fault?’: India’s expulsion of Pakistanis still splits families</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Al Jazeera</font>"
2025-11-14 08:00:00,"India-Pakistan conflict risks surge amid terror attacks, Afghan proxy war claims - South China Morning Post",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPYTJkLWwzSmN5Z0lYaWl1eWZXOWF5M3JlRGR6WjRFY25ENmNrMlNKa0l2ZXRFVEhFazZZdXFGd3cwZ3FGY0hrS0hKQ2RuRFpqSU5hNnJ3eGxMVmllb3NSYkdyNjNBbXhPc0s2dzFEdXA5TmNCYXNrRjFONFlqMjlEQk83S3ZaRml0bzZBSElsX1R0cm5ibzZhMmZ3U1R3QmM5di1fY1NTRy1HYXBTc2k0QU5YOWZ3ekJHbGNoVUVjVVA1eExvVDhMTmlaUHFEa3J30gHQAUFVX3lxTE55eThzZXVGUEpYUWRKN0EwZlB4RmFBa21rQkQtWTd3M0o5WXlTLWU2NFM2X0dzN0h1T0ROdi16Zkxqb3pQYlNEZUphTXdpTUFEQ3JHV1UyOHRzWGJ2czVDN1hIRHJNRjBKcEN0LTdfVVRtTEJCODBjVHRiMHRvdkVrRV95dzh5bktRTFBxZkxtYnVDLWg1dTNFSWV3Sy04Y0hXdmt6blkzdHp0YTdNdzVzUGVQdWR6TUVaemVVaFVuako1R0pralNFcG11S0VjQzI?oc=5,South China Morning Post,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPYTJkLWwzSmN5Z0lYaWl1eWZXOWF5M3JlRGR6WjRFY25ENmNrMlNKa0l2ZXRFVEhFazZZdXFGd3cwZ3FGY0hrS0hKQ2RuRFpqSU5hNnJ3eGxMVmllb3NSYkdyNjNBbXhPc0s2dzFEdXA5TmNCYXNrRjFONFlqMjlEQk83S3ZaRml0bzZBSElsX1R0cm5ibzZhMmZ3U1R3QmM5di1fY1NTRy1HYXBTc2k0QU5YOWZ3ekJHbGNoVUVjVVA1eExvVDhMTmlaUHFEa3J30gHQAUFVX3lxTE55eThzZXVGUEpYUWRKN0EwZlB4RmFBa21rQkQtWTd3M0o5WXlTLWU2NFM2X0dzN0h1T0ROdi16Zkxqb3pQYlNEZUphTXdpTUFEQ3JHV1UyOHRzWGJ2czVDN1hIRHJNRjBKcEN0LTdfVVRtTEJCODBjVHRiMHRvdkVrRV95dzh5bktRTFBxZkxtYnVDLWg1dTNFSWV3Sy04Y0hXdmt6blkzdHp0YTdNdzVzUGVQdWR6TUVaemVVaFVuako1R0pralNFcG11S0VjQzI?oc=5"" target=""_blank"">India-Pakistan conflict risks surge amid terror attacks, Afghan proxy war claims</a>&nbsp;&nbsp;<font color=""#6f6f6f"">South China Morning Post</font>"
2025-05-28 07:00:00,Four Days in May: The India-Pakistan Crisis of 2025 - Stimson Center,https://news.google.com/rss/articles/CBMihwFBVV95cUxPNG9fcE5HWVFjai1faWl2THZBVWtnR2ROemx6a25LS0R0NFRJeVBBQ1RzelM3dzhhaWlFV3l4WW5CUU02U3AxYmd1eU1FOTRFZDFrQTVRMlljZ3VfZWJObWZqQkNSYWtSOEhSQ1Nha0RPdUI3V1Y3bWJreTh6QnMxenUxNDBCN0U?oc=5,Stimson Center,"<a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxPNG9fcE5HWVFjai1faWl2THZBVWtnR2ROemx6a25LS0R0NFRJeVBBQ1RzelM3dzhhaWlFV3l4WW5CUU02U3AxYmd1eU1FOTRFZDFrQTVRMlljZ3VfZWJObWZqQkNSYWtSOEhSQ1Nha0RPdUI3V1Y3bWJreTh6QnMxenUxNDBCN0U?oc=5"" target=""_blank"">Four Days in May: The India-Pakistan Crisis of 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Stimson Center</font>"
2025-12-10 21:00:29,Dispatch from New Delhi: Another India-China flare-up is coming - Atlantic Council,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPcDBsZFMyT19HQWtydVFVRkxVMWt1UHRJS0djVTh3SG85dXIxc3pwUDNfdzl3SFp1UVlDMVlQS3BqNDQ4MFlJNDdwdk5kWWJXMmZ3NEVCNzctaDB6YjFMQ2d3VFJEb0NGUm1XUXF5d3ptSHA1bk1IY0QwXzdxQ3VqWlRDZjlHRUFQWXNCNHJURjdTRE13bVVFd1U0T1J6cU83MkxLMTVFTmNFZw?oc=5,Atlantic Council,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxPcDBsZFMyT19HQWtydVFVRkxVMWt1UHRJS0djVTh3SG85dXIxc3pwUDNfdzl3SFp1UVlDMVlQS3BqNDQ4MFlJNDdwdk5kWWJXMmZ3NEVCNzctaDB6YjFMQ2d3VFJEb0NGUm1XUXF5d3ptSHA1bk1IY0QwXzdxQ3VqWlRDZjlHRUFQWXNCNHJURjdTRE13bVVFd1U0T1J6cU83MkxLMTVFTmNFZw?oc=5"" target=""_blank"">Dispatch from New Delhi: Another India-China flare-up is coming</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Atlantic Council</font>"
